EXIF Tag documentation
======================

Below is a table of the currently known tag numbers, shortname and 
descriptions. Unfortunately this information is not publicly published 
and most of it has been reverse engineered by various dedicated individuals 
(See acknowledgements below), However there are still gaps and anyone who 
knows any tags not documented here please let us know about them!

      Tag   Short Name          Description
    ==========================================================
    0x010E  Main.Desc           Image Description
    0x010F  Main.Make           Camera Make
    0x0110  Main.Model          Camera Model
    0x0112  Main.Ori            Orientation
    0x011A  Main.XRes           X Resolution
    0x011B  Main.YRes           Y Resolution
    0x0128  Main.ResUnit        Resolution Unit
    0x0131  Main.Software       Camera Software
    0x0132  Main.ModTime        Last Modification
    0x013E  Main.WPoint         White Point
    0x013F  Main.PrimChr        Primary Chromaticities
    0x0211  Main.YCbCrCoef      YCbCrCoefficients
    0x0213  Main.YCbCrPos       YCbCrPositioning
    0x0214  Main.RefBW          Reference Black/White point
    0x8298  Main.Copy           Copyright
    0x8769  Main.ExifOffset     Sub IFD Offset

    0x829A  Sub.Shutter         Exposure Time
    0x829D  Sub.FStop           F-Stop
    0x8822  Sub.Prog            Program
    0x8827  Sub.Iso             Equivalent ISO speed
    0x9000  Sub.ExifVer         Exif Version
    0x9003  Sub.OrigTime        Original Time
    0x9004  Sub.DigTime         Digitized Time
    0x9101  Sub.CompConfig      Components Configuration
    0x9102  Sub.Bpp             Average compression ratio
    0x9201  Sub.Shuttera        Shutter Speed
    0x9202  Sub.Aperturea       Aperture
    0x9203  Sub.Brighta         Brightness APEX
    0x9204  Sub.Expbiasa        Exposure Bias APEX
    0x9205  Sub.Maxapa          Maximum Aperture APEX
    0x9206  Sub.Dist            Subject Distance
    0x9207  Sub.Meter           Metering Mode
    0x9208  Sub.Lights          Light Source
    0x9209  Sub.Flash           Flash Used
    0x920a  Sub.Focal           Focal Length
    0x927c  Sub.Maker           Maker Note
    0x9286  Sub.User            User Comment
    0x9290  Sub.STime           Subsecond Time
    0x9291  Sub.SOrigTime       Subsecond Original Time
    0x9292  Sub.SDigTime        Subsecond Digitized Time
    0xA000  Sub.Flashpix        Flash Pix Version
    0xA001  Sub.ColorSpace      Color Space
    0xA002  Sub.Width           Image Width
    0xA003  Sub.Height          Image Height
    0xA004  Sub.SndFile         Sound File
    0xA005  Sub.ExifIntOff      Exif Interoperability Offset
    0xA20E  Sub.FPXRes          Focal Plane X Resolution
    0xA20F  Sub.FPYRes          Focal Plane Y Resolution
    0xA210  Sub.FPResUnit       Focal Plane Unit
    0xA215  Sub.ExpIndex        Exposure Index
    0xA217  Sub.SenseMethod     Sensing Method
    0xA300  Sub.FileSource      File Source
    0xA301  Sub.SceneType       Scene Type
    0xA302  Sub.CFAPat          CFA Pattern

Manufacturer Tags (Maker Notes)


Nikon has two different formats:
    0x0002  Nikon.ISO           Nikon ISO Setting
    0x0003  Nikon.Color         Nikon Color Mode
    0x0004  Nikon.Quality       Nikon Quality
    0x0005  Nikon.WhiteBal      Nikon White Balance
    0x0006  Nikon.Sharp         Nikon Image Sharpening
    0x0007  Nikon.Focus         Nikon Focus Mode
    0x0008  Nikon.Flash         Nikon Flash
    0x0009  Nikon.FlashMode     Nikon Flash Mode
    0x000F  Nikon.ISOSel        Nikon ISO Selection
    0x0080  Nikon.ImgAdjust     Nikon Image Adjustment
    0x0082  Nikon.Adapter       Nikon Adapter Setting
    0x0084  Nikon.Lens          Nikon Lens
    0x0085  Nikon.ManFocus      Nikon Manual Focus Distance
    0x0086  Nikon.DigZoom       Nikon Digital Zoom
    0x0088  Nikon.AFPos         Nikon Auto Focus Position

    0x0002  Nikon2.Unknown0002  Nikon Unknown (0002)
    0x0003  Nikon2.Quality      Nikon Quality
    0x0004  Nikon2.Color        Nikon Color Mode
